ph,temperature,humidity,altitude,rainfall,N,P,K,label
6.6,22.49,69.34,308,801.07,96,25,85,Cabbage
7.04,20.74,56.14,836,860.11,85,33,110,Cabbage
7.22,15.67,64.26,394,716.76,100,23,101,Cabbage
6.33,20.86,69.93,1017,788.53,104,37,93,Cabbage
6.71,18.52,68.2,1422,610.91,112,32,87,Cabbage
6.74,16.68,51.79,673,681.7,101,28,104,Cabbage
6.37,15.43,66.58,566,893.34,92,20,99,Cabbage
7.21,24.1,60.22,247,717.96,112,32,86,Cabbage
7.31,20.81,63.8,174,687.01,109,29,115,Cabbage
6.48,22.4,60.29,1464,706.95,91,25,85,Cabbage
6.2,22.1,58.83,647,984.98,106,21,99,Cabbage
6.77,19.64,57.53,1133,754.3,102,33,86,Cabbage
6.53,19.48,64.99,772,721.12,84,34,114,Cabbage
6.69,17.7,51.38,351,744.18,92,40,99,Cabbage
6.34,24.46,64.87,302,907.45,83,20,84,Cabbage
6.79,20.38,61.81,1444,712.78,82,32,120,Cabbage
6.13,24.0,60.59,102,602.63,92,32,95,Cabbage
7.4,18.05,57.7,863,905.92,115,39,103,Cabbage
6.04,22.3,58.41,188,811.25,100,37,108,Cabbage
6.96,18.72,58.75,307,789.44,109,20,118,Cabbage
7.42,22.44,59.09,728,786.34,95,28,118,Cabbage
6.98,15.75,62.78,1085,688.31,82,32,86,Cabbage
6.69,22.09,52.05,402,811.69,102,30,109,Cabbage
6.29,15.5,66.34,336,855.42,101,27,117,Cabbage
6.61,18.18,54.49,623,778.2,102,30,112,Cabbage
6.21,17.16,60.8,967,834.96,111,28,107,Cabbage
6.37,17.3,53.13,492,867.6,109,34,114,Cabbage
7.2,17.81,63.6,1320,622.42,93,35,85,Cabbage
7.21,23.7,56.52,1269,754.01,91,22,120,Cabbage
7.15,20.4,67.56,374,977.41,113,29,80,Cabbage
7.45,19.21,60.02,1230,733.37,97,34,94,Cabbage
6.36,20.13,53.65,1066,763.29,109,39,119,Cabbage
7.02,19.68,58.76,134,701.59,117,38,109,Cabbage
7.23,17.2,56.67,474,922.2,96,37,95,Cabbage
6.86,20.4,52.75,1115,961.49,91,21,96,Cabbage
7.32,21.19,64.15,897,850.36,90,22,106,Cabbage
6.37,16.59,61.4,1068,679.5,104,24,82,Cabbage
7.14,24.89,54.7,455,666.38,113,34,83,Cabbage
6.65,20.11,65.24,1114,831.48,97,32,119,Cabbage
6.44,21.05,67.09,341,667.61,119,23,106,Cabbage
6.37,21.84,50.96,696,689.41,94,30,115,Cabbage
7.29,17.5,65.39,919,847.64,80,29,93,Cabbage
6.97,20.4,61.29,975,918.0,113,35,96,Cabbage
6.35,21.95,54.83,654,690.9,91,29,106,Cabbage
7.43,18.79,55.22,1101,664.22,106,20,88,Cabbage
6.15,22.46,50.34,1257,673.26,115,38,107,Cabbage
6.42,18.34,57.7,502,911.94,86,39,91,Cabbage
6.61,16.95,64.1,795,703.45,115,31,94,Cabbage
7.07,24.07,64.27,1201,733.1,120,22,109,Cabbage
6.25,23.96,67.62,153,982.69,82,20,80,Cabbage
6.16,22.85,69.26,803,775.0,92,39,85,Cabbage
6.11,15.49,60.84,1416,975.51,116,25,119,Cabbage
7.42,24.26,61.26,463,788.19,116,22,85,Cabbage
6.53,23.9,55.4,547,657.63,100,27,95,Cabbage
6.35,23.3,66.83,553,926.81,82,37,91,Cabbage
7.01,15.1,60.13,1029,667.89,105,39,99,Cabbage
7.01,24.08,54.3,976,753.85,115,40,100,Cabbage
7.16,16.61,63.4,303,715.0,98,21,106,Cabbage
6.19,22.75,55.3,1482,954.08,95,30,96,Cabbage
6.6,22.4,65.78,475,664.62,96,21,98,Cabbage
6.65,23.87,67.47,689,969.28,86,30,116,Cabbage
7.13,16.54,56.07,210,976.27,116,21,99,Cabbage
6.08,15.5,54.03,1438,704.96,91,31,80,Cabbage
6.53,22.8,54.11,1084,708.66,119,21,96,Cabbage
6.67,19.26,54.9,1486,795.23,105,25,118,Cabbage
6.33,23.57,55.91,81,980.95,93,23,107,Cabbage
7.29,18.73,58.4,1240,934.47,93,28,111,Cabbage
7.27,23.58,66.8,1230,814.24,92,37,100,Cabbage
7.35,24.25,53.15,814,945.66,99,30,97,Cabbage
6.87,21.63,67.73,476,659.6,89,21,95,Cabbage
6.54,24.1,56.25,87,962.17,97,22,91,Cabbage
6.17,23.42,63.34,1151,741.62,115,30,91,Capsicum (Bell Pepper)
6.46,26.52,44.99,309,704.99,80,27,82,Capsicum (Bell Pepper)
6.03,26.29,69.7,676,796.64,112,31,109,Capsicum (Bell Pepper)
6.29,27.11,57.72,460,750.04,91,35,88,Capsicum (Bell Pepper)
6.94,26.85,57.97,1242,626.97,95,35,99,Capsicum (Bell Pepper)
6.9,24.87,57.67,1162,685.48,115,24,88,Capsicum (Bell Pepper)
6.02,23.86,65.41,678,662.05,97,31,93,Capsicum (Bell Pepper)
6.2,24.37,61.75,599,709.53,80,23,85,Capsicum (Bell Pepper)
6.04,20.58,41.82,1331,764.04,80,39,102,Capsicum (Bell Pepper)
6.8,29.22,45.8,1171,732.35,98,34,89,Capsicum (Bell Pepper)
6.45,20.13,65.84,725,749.35,108,33,89,Capsicum (Bell Pepper)
6.3,27.27,48.95,215,691.36,107,20,99,Capsicum (Bell Pepper)
6.72,25.5,54.76,1262,745.14,84,31,113,Capsicum (Bell Pepper)
6.13,27.88,43.8,1446,749.74,114,34,88,Capsicum (Bell Pepper)
6.2,22.84,47.68,565,762.91,107,36,98,Capsicum (Bell Pepper)
6.51,27.51,61.44,156,773.27,119,38,86,Capsicum (Bell Pepper)
6.21,24.32,51.91,988,726.63,112,20,93,Capsicum (Bell Pepper)
6.01,24.96,47.4,314,731.71,99,21,81,Capsicum (Bell Pepper)
6.67,22.49,42.78,552,603.37,88,39,100,Capsicum (Bell Pepper)
6.91,22.43,56.65,771,660.48,116,26,105,Capsicum (Bell Pepper)
6.18,21.38,59.08,82,732.87,114,32,108,Capsicum (Bell Pepper)
6.78,22.83,65.96,103,668.15,109,32,89,Capsicum (Bell Pepper)
6.4,23.33,41.65,972,604.37,118,30,105,Capsicum (Bell Pepper)
6.77,24.32,46.05,304,723.85,106,21,81,Capsicum (Bell Pepper)
6.86,20.15,53.96,597,720.01,85,39,119,Capsicum (Bell Pepper)
6.1,26.44,46.96,784,662.64,114,34,105,Capsicum (Bell Pepper)
6.92,23.72,48.52,509,658.82,95,31,93,Capsicum (Bell Pepper)
6.16,24.2,50.67,323,654.15,114,36,103,Capsicum (Bell Pepper)
6.22,20.53,54.99,922,660.57,86,30,120,Capsicum (Bell Pepper)
6.4,23.25,67.85,551,612.47,98,26,89,Capsicum (Bell Pepper)
6.14,28.82,54.17,1101,646.05,94,32,119,Capsicum (Bell Pepper)
6.62,23.36,62.22,1183,692.97,96,26,85,Capsicum (Bell Pepper)
6.93,22.91,42.38,859,767.0,118,26,110,Capsicum (Bell Pepper)
6.63,26.53,40.01,1470,756.78,120,35,111,Capsicum (Bell Pepper)
6.05,20.35,63.24,591,788.8,111,32,97,Capsicum (Bell Pepper)
6.78,23.15,40.19,1090,798.52,115,35,90,Capsicum (Bell Pepper)
6.06,26.97,63.8,1481,739.21,117,31,82,Capsicum (Bell Pepper)
6.95,25.51,60.84,332,677.75,118,25,95,Capsicum (Bell Pepper)
6.71,25.78,57.39,80,789.96,82,31,94,Capsicum (Bell Pepper)
6.85,22.55,68.82,412,717.63,103,36,97,Capsicum (Bell Pepper)
6.82,23.18,42.7,905,789.14,118,38,84,Capsicum (Bell Pepper)
6.22,21.1,42.22,415,767.55,104,34,111,Capsicum (Bell Pepper)
6.41,29.63,42.42,1181,792.77,95,28,94,Capsicum (Bell Pepper)
6.85,24.82,66.6,661,627.18,105,21,84,Capsicum (Bell Pepper)
6.06,28.47,49.46,1180,743.5,119,40,105,Capsicum (Bell Pepper)
6.36,28.45,54.48,145,657.03,85,21,103,Capsicum (Bell Pepper)
6.48,23.09,56.71,199,794.64,85,22,108,Capsicum (Bell Pepper)
6.68,26.0,60.3,89,708.39,99,33,110,Capsicum (Bell Pepper)
6.24,25.74,53.6,371,745.8,92,22,113,Capsicum (Bell Pepper)
6.82,20.24,45.89,1308,690.08,90,33,113,Capsicum (Bell Pepper)
6.04,21.47,50.37,1447,779.01,93,32,90,Capsicum (Bell Pepper)
6.95,22.61,56.06,921,698.74,91,40,108,Capsicum (Bell Pepper)
7.0,29.28,63.86,1047,702.87,85,24,94,Capsicum (Bell Pepper)
6.98,21.84,66.84,495,714.44,104,24,83,Capsicum (Bell Pepper)
6.82,23.38,49.08,1498,604.34,115,25,92,Capsicum (Bell Pepper)
6.44,23.58,67.49,1047,742.93,99,36,105,Capsicum (Bell Pepper)
6.26,26.72,58.5,455,740.72,104,34,99,Capsicum (Bell Pepper)
6.71,22.34,44.25,1058,635.1,95,24,111,Capsicum (Bell Pepper)
6.88,27.26,54.87,274,692.99,113,34,83,Capsicum (Bell Pepper)
6.86,21.78,40.02,397,738.29,116,26,84,Capsicum (Bell Pepper)
6.99,21.88,63.5,1063,671.28,94,27,111,Capsicum (Bell Pepper)
6.16,24.42,65.84,1485,763.49,92,21,81,Capsicum (Bell Pepper)
6.03,26.4,42.58,1197,730.62,102,36,97,Capsicum (Bell Pepper)
6.6,22.02,46.48,722,705.3,107,22,95,Capsicum (Bell Pepper)
6.88,24.84,57.27,474,610.1,110,28,100,Capsicum (Bell Pepper)
6.82,20.98,59.3,1389,657.19,112,38,110,Capsicum (Bell Pepper)
6.35,27.32,49.49,528,763.25,109,25,92,Capsicum (Bell Pepper)
6.13,23.68,46.51,1497,609.97,114,24,80,Capsicum (Bell Pepper)
6.99,22.14,60.08,1307,694.06,87,35,116,Capsicum (Bell Pepper)
6.95,25.34,53.56,785,668.84,81,40,96,Capsicum (Bell Pepper)
6.04,27.36,42.42,541,664.77,93,32,97,Capsicum (Bell Pepper)
6.26,20.69,42.58,317,610.21,103,38,116,Capsicum (Bell Pepper)
6.57,28.54,42.04,627,620.56,85,24,84,Capsicum (Bell Pepper)
6.85,24.39,63.22,280,617.06,112,32,96,Capsicum (Bell Pepper)
6.14,27.61,63.49,1324,675.14,83,25,104,Capsicum (Bell Pepper)
6.45,24.4,52.62,1417,727.42,91,31,107,Capsicum (Bell Pepper)
6.13,27.78,51.61,677,667.53,106,32,109,Capsicum (Bell Pepper)
6.66,29.78,63.89,890,689.83,89,31,104,Capsicum (Bell Pepper)
6.27,25.25,51.78,781,754.45,101,37,96,Capsicum (Bell Pepper)
6.15,26.72,46.69,1031,721.14,90,24,117,Capsicum (Bell Pepper)
6.74,22.41,41.04,483,745.66,120,32,81,Capsicum (Bell Pepper)
6.59,27.01,49.29,1130,658.93,116,30,83,Capsicum (Bell Pepper)
6.6,29.9,50.53,203,699.21,105,27,101,Capsicum (Bell Pepper)
6.17,26.81,52.98,1111,716.59,106,31,101,Capsicum (Bell Pepper)
6.17,29.36,42.74,442,718.19,100,38,110,Capsicum (Bell Pepper)
6.7,29.58,68.86,342,604.26,104,20,103,Capsicum (Bell Pepper)
6.97,23.84,44.37,542,716.99,96,39,120,Capsicum (Bell Pepper)
6.03,21.88,61.25,1021,634.55,100,34,86,Capsicum (Bell Pepper)
6.37,27.27,50.74,775,727.66,96,38,97,Capsicum (Bell Pepper)
6.53,28.55,65.98,1324,743.87,96,20,112,Capsicum (Bell Pepper)
6.06,26.47,58.63,330,688.39,87,33,88,Capsicum (Bell Pepper)
6.39,20.98,66.28,778,631.47,95,29,119,Capsicum (Bell Pepper)
6.02,26.94,53.07,1350,747.94,109,40,113,Capsicum (Bell Pepper)
6.76,26.4,46.03,352,668.36,93,35,107,Capsicum (Bell Pepper)
6.25,21.08,48.37,1220,779.68,111,23,83,Capsicum (Bell Pepper)
6.43,24.2,62.94,1000,677.38,90,30,85,Capsicum (Bell Pepper)
6.82,29.05,58.23,1310,693.44,105,22,93,Capsicum (Bell Pepper)
6.17,22.82,65.05,876,655.38,103,30,118,Capsicum (Bell Pepper)
6.94,23.33,60.97,479,663.31,94,22,97,Capsicum (Bell Pepper)
6.45,25.06,56.18,459,679.33,89,37,107,Capsicum (Bell Pepper)
6.64,29.52,48.0,1471,674.89,91,36,94,Capsicum (Bell Pepper)
6.21,22.56,41.88,912,616.62,86,35,98,Capsicum (Bell Pepper)
6.27,29.69,44.14,599,730.08,116,38,107,Capsicum (Bell Pepper)
6.02,22.45,59.51,628,690.09,92,24,97,Capsicum (Bell Pepper)
6.1,25.71,56.78,694,776.36,84,34,81,Capsicum (Bell Pepper)
6.79,23.29,42.31,601,789.13,104,21,87,Capsicum (Bell Pepper)
6.47,29.52,68.58,573,787.41,87,22,105,Capsicum (Bell Pepper)
6.94,24.38,62.93,736,668.78,116,26,93,Capsicum (Bell Pepper)
6.14,22.56,49.11,1092,610.63,87,20,106,Capsicum (Bell Pepper)
6.18,27.67,69.14,1006,786.29,82,28,109,Capsicum (Bell Pepper)
6.39,29.04,58.04,821,686.13,118,29,109,Capsicum (Bell Pepper)
6.25,27.59,43.71,821,791.75,97,38,116,Capsicum (Bell Pepper)
6.01,20.25,58.53,799,654.49,88,23,94,Capsicum (Bell Pepper)
6.52,21.79,67.75,154,730.95,119,30,89,Capsicum (Bell Pepper)
6.39,27.16,41.96,1420,633.3,115,30,114,Capsicum (Bell Pepper)
6.64,27.87,54.79,161,735.15,115,33,117,Capsicum (Bell Pepper)
6.53,25.01,40.62,1402,781.11,112,39,94,Capsicum (Bell Pepper)
6.45,23.29,58.95,177,659.27,103,35,88,Capsicum (Bell Pepper)
6.74,20.94,50.0,625,613.02,114,31,90,Capsicum (Bell Pepper)
6.27,29.06,40.16,177,793.55,112,23,108,Capsicum (Bell Pepper)
6.11,24.98,40.94,604,660.92,100,21,104,Capsicum (Bell Pepper)
6.59,27.83,54.43,1454,672.83,91,21,86,Capsicum (Bell Pepper)
6.0,28.37,59.79,474,663.4,102,38,99,Capsicum (Bell Pepper)
6.45,27.16,43.26,862,781.21,96,28,101,Capsicum (Bell Pepper)
6.12,21.9,50.42,501,763.45,113,33,107,Capsicum (Bell Pepper)
6.64,29.66,48.94,251,716.63,81,34,96,Capsicum (Bell Pepper)
6.02,26.1,65.31,76,669.97,107,23,102,Capsicum (Bell Pepper)
6.9,29.16,54.46,846,662.91,110,40,113,Capsicum (Bell Pepper)
6.27,28.76,69.61,1064,727.07,89,22,81,Capsicum (Bell Pepper)
6.91,29.3,46.99,1017,756.16,86,36,81,Capsicum (Bell Pepper)
6.57,28.8,69.28,524,601.82,104,39,89,Capsicum (Bell Pepper)
6.71,29.05,63.16,1430,695.06,97,22,87,Capsicum (Bell Pepper)
6.43,22.63,66.76,404,792.71,117,34,89,Capsicum (Bell Pepper)
6.89,25.97,40.3,1414,777.2,111,36,93,Capsicum (Bell Pepper)
6.18,26.71,68.54,1464,752.25,101,34,116,Capsicum (Bell Pepper)
6.13,25.45,57.08,121,727.25,91,28,87,Capsicum (Bell Pepper)
6.91,28.54,63.98,976,659.76,93,38,120,Capsicum (Bell Pepper)
6.06,27.76,49.06,1111,725.87,99,28,109,Capsicum (Bell Pepper)
6.67,20.01,56.82,1096,743.96,92,36,119,Capsicum (Bell Pepper)
6.58,23.27,41.11,522,659.58,86,30,103,Capsicum (Bell Pepper)
6.48,29.38,50.76,92,681.2,114,35,96,Capsicum (Bell Pepper)
6.42,23.07,40.06,319,715.92,96,30,88,Capsicum (Bell Pepper)
6.11,20.32,43.21,1289,679.92,84,35,96,Capsicum (Bell Pepper)
6.29,28.81,52.47,598,788.06,101,37,120,Capsicum (Bell Pepper)
6.09,23.9,50.61,702,653.9,118,32,109,Capsicum (Bell Pepper)
6.67,28.51,56.37,1417,621.56,114,38,90,Capsicum (Bell Pepper)
6.24,29.85,41.53,680,690.23,89,31,103,Capsicum (Bell Pepper)
6.47,29.28,40.91,978,727.66,107,21,105,Capsicum (Bell Pepper)
6.17,23.26,57.09,147,737.24,115,26,118,Capsicum (Bell Pepper)
6.78,28.82,61.39,1361,696.44,93,31,107,Capsicum (Bell Pepper)
6.96,26.65,59.13,1406,611.1,119,33,119,Capsicum (Bell Pepper)
6.94,29.37,44.11,1243,721.21,114,22,119,Capsicum (Bell Pepper)
6.49,20.52,40.63,1474,781.69,117,40,104,Capsicum (Bell Pepper)
6.77,20.78,55.04,670,711.92,92,32,80,Capsicum (Bell Pepper)
6.52,29.04,55.47,598,706.71,111,31,108,Capsicum (Bell Pepper)
6.19,28.2,52.51,1207,652.84,90,21,93,Capsicum (Bell Pepper)
6.6,29.34,57.05,70,637.07,104,36,85,Capsicum (Bell Pepper)
6.79,24.51,41.48,1217,782.98,114,30,120,Capsicum (Bell Pepper)
6.43,27.52,62.16,933,735.22,96,27,87,Capsicum (Bell Pepper)
6.13,24.26,53.46,620,764.85,102,25,94,Capsicum (Bell Pepper)
6.72,21.17,58.13,318,771.11,99,31,114,Capsicum (Bell Pepper)
6.93,28.55,43.21,953,613.19,84,26,83,Capsicum (Bell Pepper)
6.44,21.74,40.15,147,733.29,118,28,98,Capsicum (Bell Pepper)
6.46,22.83,69.74,795,773.32,88,34,95,Capsicum (Bell Pepper)
6.1,28.69,63.43,1495,627.82,88,27,109,Capsicum (Bell Pepper)
6.4,28.07,41.59,1377,691.31,86,25,110,Capsicum (Bell Pepper)
6.7,23.37,44.44,1129,624.64,98,20,84,Capsicum (Bell Pepper)
6.72,26.38,46.68,827,793.39,97,34,109,Capsicum (Bell Pepper)
6.55,23.8,58.22,1310,733.14,112,29,92,Capsicum (Bell Pepper)
6.41,28.59,55.34,918,691.58,100,40,82,Capsicum (Bell Pepper)
6.77,29.09,67.64,705,658.46,87,22,107,Capsicum (Bell Pepper)
6.48,24.74,51.25,1167,726.76,83,21,89,Capsicum (Bell Pepper)
6.89,28.64,55.64,1043,720.55,97,30,118,Capsicum (Bell Pepper)
6.45,28.36,47.32,806,761.65,110,32,97,Capsicum (Bell Pepper)
6.79,28.86,40.98,1002,661.04,117,32,98,Capsicum (Bell Pepper)
6.78,23.7,40.69,156,685.68,111,21,119,Capsicum (Bell Pepper)
6.16,29.56,68.07,73,660.86,113,35,104,Capsicum (Bell Pepper)
6.92,28.3,68.26,1081,692.12,101,21,84,Capsicum (Bell Pepper)
6.17,27.94,46.56,238,622.27,112,37,109,Capsicum (Bell Pepper)
6.95,27.16,43.54,1325,664.38,117,24,83,Capsicum (Bell Pepper)
6.3,29.68,63.85,344,704.07,113,28,96,Capsicum (Bell Pepper)
6.94,24.56,49.37,671,603.89,108,28,97,Capsicum (Bell Pepper)
6.5,22.74,68.3,842,740.05,114,23,98,Capsicum (Bell Pepper)
6.44,21.35,50.14,1111,658.76,108,35,111,Capsicum (Bell Pepper)
6.58,29.99,57.22,309,620.59,111,37,97,Capsicum (Bell Pepper)
6.4,23.41,45.7,852,647.17,114,36,118,Capsicum (Bell Pepper)
6.99,22.16,61.15,711,688.89,116,22,82,Capsicum (Bell Pepper)
6.2,29.48,47.54,147,782.37,112,30,91,Capsicum (Bell Pepper)
6.28,24.48,42.43,399,636.39,104,35,120,Capsicum (Bell Pepper)
6.85,21.74,68.62,367,745.5,84,35,119,Capsicum (Bell Pepper)
6.34,25.44,61.75,450,711.58,120,25,116,Capsicum (Bell Pepper)
6.33,27.79,47.05,769,675.67,97,34,80,Capsicum (Bell Pepper)
6.67,28.59,43.68,377,780.41,115,38,97,Capsicum (Bell Pepper)
6.42,23.35,55.41,618,712.31,117,37,89,Capsicum (Bell Pepper)
6.5,26.26,62.2,198,614.25,82,31,96,Capsicum (Bell Pepper)
6.81,23.25,58.33,140,781.34,113,37,86,Capsicum (Bell Pepper)
6.73,20.29,67.66,645,735.98,86,36,108,Capsicum (Bell Pepper)
6.96,26.1,54.52,485,748.14,90,21,108,Capsicum (Bell Pepper)
6.22,24.53,52.71,1054,722.27,109,39,101,Capsicum (Bell Pepper)
6.32,29.23,48.36,711,724.54,114,23,100,Capsicum (Bell Pepper)
5.74,25.87,75.07,612,2344.16,49,48,99,Cardamom
5.93,32.66,72.92,1091,2272.36,63,57,88,Cardamom
5.56,18.33,86.78,670,2121.87,63,45,100,Cardamom
5.97,27.71,86.65,1144,2481.83,70,64,65,Cardamom
6.08,14.03,74.0,1137,1978.68,62,73,74,Cardamom
5.75,23.11,81.95,1482,1964.52,56,41,70,Cardamom
5.77,12.13,76.92,712,1883.62,73,80,75,Cardamom
6.43,26.82,77.37,1407,1944.68,73,65,60,Cardamom
6.46,13.69,76.08,1022,2045.4,75,53,61,Cardamom
5.89,11.38,72.15,1204,1933.01,77,56,72,Cardamom
6.1,15.32,75.7,925,1828.43,70,74,96,Cardamom
5.87,25.5,71.19,747,1686.8,58,69,87,Cardamom
5.58,16.31,70.05,995,1569.3,64,59,84,Cardamom
5.5,20.28,71.15,1126,2452.5,67,70,70,Cardamom
6.08,23.04,72.55,757,1646.84,56,80,93,Cardamom
6.47,32.84,79.76,1178,1500.13,66,64,95,Cardamom
6.35,26.94,88.78,1291,1645.52,62,54,73,Cardamom
5.61,13.86,87.76,928,1852.81,64,44,67,Cardamom
6.37,25.69,73.9,914,2328.55,78,80,93,Cardamom
6.38,25.33,76.93,902,1788.83,43,69,94,Cardamom
6.14,16.31,82.95,1386,2417.41,75,51,68,Cardamom
5.56,28.2,83.86,1095,2329.16,65,68,71,Cardamom
6.03,10.82,78.89,833,2158.59,80,63,96,Cardamom
6.05,15.72,76.99,1074,1597.41,80,68,65,Cardamom
5.57,21.53,81.18,1412,1630.49,50,41,89,Cardamom
5.99,23.64,87.62,1305,1819.9,72,61,98,Cardamom
6.09,25.2,86.07,1065,2285.97,62,47,99,Cardamom
5.58,18.72,72.07,1167,1674.01,42,62,82,Cardamom
5.77,31.21,70.31,1426,1916.5,75,55,100,Cardamom
6.24,31.97,87.01,1289,1931.91,77,71,89,Cardamom
5.58,28.08,87.31,662,2226.42,51,60,72,Cardamom
5.72,12.78,80.77,1467,2036.19,68,56,90,Cardamom
5.88,14.02,79.73,1019,1724.04,47,73,82,Cardamom
6.17,22.72,75.24,1262,2052.32,73,75,62,Cardamom
5.86,23.64,84.31,1433,2060.47,67,52,67,Cardamom
6.38,33.17,82.27,1205,1569.49,74,76,64,Cardamom
5.92,26.65,74.73,1480,2145.5,67,80,92,Cardamom
6.09,13.95,82.15,942,2238.09,43,69,96,Cardamom
5.99,15.75,87.77,678,2430.84,49,61,86,Cardamom
6.19,28.57,79.95,938,2454.45,54,61,77,Cardamom
5.93,21.08,78.33,1146,2062.57,48,75,70,Cardamom
6.45,17.63,73.04,908,1523.46,73,72,82,Cardamom
6.47,23.69,77.08,1163,2207.38,53,43,75,Cardamom
5.94,15.7,82.47,845,1618.46,55,51,74,Cardamom
6.38,26.8,84.07,952,2418.09,48,70,64,Cardamom
6.39,21.11,82.56,659,1674.13,51,58,76,Cardamom
6.44,13.34,74.62,1048,1604.14,53,62,76,Cardamom
6.3,23.75,75.3,1395,2335.15,62,48,96,Cardamom
5.83,10.93,75.53,1196,1537.56,76,72,73,Cardamom
6.19,10.26,79.89,844,2447.31,69,66,86,Cardamom
6.36,26.15,89.37,1280,1613.01,56,41,74,Cardamom
5.94,12.06,72.16,1306,2174.71,56,66,83,Cardamom
5.54,29.36,85.28,907,2244.84,52,50,88,Cardamom
6.15,26.84,84.94,1245,1744.83,74,68,97,Cardamom
6.02,14.21,76.91,1081,2475.87,49,66,60,Cardamom
5.97,26.0,88.48,747,2387.79,55,64,63,Cardamom
6.05,29.45,86.64,1488,1670.66,71,64,60,Cardamom
6.1,12.27,80.24,657,2293.81,40,62,81,Cardamom
5.72,28.45,87.35,675,1738.09,74,77,96,Cardamom
6.37,19.72,76.32,1370,2064.42,43,76,71,Cardamom
5.54,28.41,76.87,1197,1744.55,56,73,91,Cardamom
5.78,25.92,71.94,1172,2400.08,73,43,88,Cardamom
5.88,20.49,89.21,848,2322.7,51,49,66,Cardamom
5.94,29.25,82.98,1406,2481.64,74,50,84,Cardamom
6.07,15.42,79.54,872,2147.95,70,64,73,Cardamom
6.1,30.28,80.34,1400,2081.61,58,73,93,Cardamom
5.89,20.66,75.45,1442,2258.02,56,56,91,Cardamom
6.2,31.99,83.07,1352,1808.23,44,58,87,Cardamom
6.05,31.33,88.7,1215,2011.76,49,80,91,Cardamom
6.07,24.02,89.36,741,2149.25,79,62,77,Cardamom
6.35,16.5,87.51,882,1923.61,40,52,69,Cardamom
5.83,22.36,73.21,807,2373.93,66,79,91,Cardamom
6.46,19.58,70.39,837,1824.71,55,52,73,Cardamom
5.78,28.66,79.04,1190,1925.91,80,73,88,Cardamom
5.96,25.77,87.38,1402,2141.67,42,62,67,Cardamom
5.51,19.19,81.78,933,1639.69,75,54,71,Cardamom
5.54,16.23,72.32,958,2087.25,57,80,94,Cardamom
6.44,15.04,79.24,1181,1551.74,55,47,90,Cardamom
5.59,34.2,79.08,772,1955.74,71,52,67,Cardamom
5.9,31.46,77.57,755,2494.74,72,78,85,Cardamom
6.5,27.56,70.73,1499,1726.14,60,60,83,Cardamom
5.73,30.1,83.55,1077,2427.36,59,69,72,Cardamom
6.26,33.43,80.84,923,2259.88,66,68,99,Cardamom
5.8,32.63,70.77,1140,1828.52,79,70,84,Cardamom
5.7,15.5,78.44,673,2496.0,72,47,64,Cardamom
6.02,21.32,77.25,882,1830.17,50,49,62,Cardamom
5.61,30.02,78.13,1158,1513.16,63,66,68,Cardamom
6.04,22.57,72.95,1287,1651.01,75,55,86,Cardamom
5.84,33.14,73.29,1283,1949.95,60,80,89,Cardamom
6.04,25.49,78.6,1187,1785.01,77,73,90,Cardamom
6.0,20.89,72.48,1020,2172.81,57,73,92,Cardamom
5.7,21.62,83.78,671,2444.5,46,43,97,Cardamom
6.39,28.76,70.33,1408,2010.3,57,58,71,Cardamom
6.11,21.72,88.83,722,1671.08,52,47,99,Cardamom
5.6,26.39,81.91,895,2489.41,55,42,76,Cardamom
5.5,34.84,84.79,765,2429.26,70,75,81,Cardamom
6.0,28.03,76.36,1103,2449.84,62,58,76,Cardamom
5.51,25.14,75.37,666,1634.11,67,64,61,Cardamom
6.24,16.4,88.89,758,2150.76,66,62,77,Cardamom
5.8,17.38,80.91,1458,1538.46,60,53,65,Cardamom
5.51,13.11,76.97,1008,2160.4,70,44,79,Cardamom
6.23,11.1,78.06,1175,2143.86,49,52,79,Cardamom
6.05,19.37,79.34,894,1923.65,52,53,63,Cardamom
6.27,16.32,70.97,1184,1611.18,80,72,86,Cardamom
6.22,34.21,80.21,1435,2054.79,77,54,73,Cardamom
6.39,20.61,87.74,767,1683.68,69,42,64,Cardamom
5.95,25.61,79.01,1187,1668.09,70,67,86,Cardamom
6.34,34.55,72.47,778,1835.51,44,51,100,Cardamom
6.3,23.09,85.99,1232,1780.06,74,50,75,Cardamom
5.82,27.46,74.66,965,2335.28,50,51,67,Cardamom
5.98,21.43,73.6,1310,1844.35,63,68,83,Cardamom
6.43,30.04,83.87,1474,2287.28,69,76,94,Cardamom
5.99,10.01,71.59,716,1757.61,67,69,63,Cardamom
6.03,27.73,79.74,977,1907.79,67,73,100,Cardamom
5.95,12.21,71.21,1133,2274.45,42,45,99,Cardamom
6.12,19.97,76.79,1077,1850.4,61,43,72,Cardamom
6.15,24.46,77.72,874,2382.99,77,71,77,Cardamom
5.78,34.47,78.67,872,2362.63,71,80,92,Cardamom
6.12,20.06,84.57,1202,1703.56,48,67,91,Cardamom
5.88,24.66,71.92,611,2218.52,55,48,96,Cardamom
5.58,12.48,80.26,1271,2265.85,48,68,93,Cardamom
6.28,31.66,77.9,1340,1716.87,67,52,62,Cardamom
5.84,21.64,74.29,732,1657.08,58,51,64,Cardamom
6.42,15.74,87.56,1043,1740.08,54,53,87,Cardamom
6.08,27.12,89.01,994,2327.76,59,43,99,Cardamom
